name_ar,name_he,name,category_id,place_type,opening_hours,lat,lon,skip_reason
سوق بلدي,שוק עירוני,Municipal Market,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.394738,34.759524,duplicate_nearby
مدرسة الإخاء,בית ספר אל אח׳א,Al-Ikhaa School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.389297,34.769675,
مدرسة النور,בית ספר אלנור,Al-Noor School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.389166,34.764521,
مدرسة صلاح الدين,בית ספר סלאח אלדין,Salah Al-Din School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.392798,34.741433,
مدرسة الرحمة الابتدائية,בית ספר יסודי אלרחמה,Al-Rahma Elementary School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.387994,34.757481,
مدرسة خميس,בית ספר ח׳מיס,Khamis School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.388432,34.738379,
مدرسة السلام أ,בית ספר אלסלאם א,Al-Salam A School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.388023,34.738932,
مدرسة ابن سينا,בית ספר אבן סינא,Ibn Sina School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.385973,34.748586,
الثانوية أ,תיכון א,High School A,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.398784,34.758223,
ثانوية شاملة العزي,תיכון מקיף אל עוזי,Al-Ozzi Comprehensive High School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.393266,34.743076,
